jurisdiction_id,urbanicity_type,state_fips,county_fips,state_name,state_abbr,jurisdiction_name,county_name,jail_population,date_name
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,176,2021-q1
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,160,2021-q2
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,153,2021-q3
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,158,2021-q4
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,110,2022-q1
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,153,2022-q2
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,140,2022-q3
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,150,2022-q4
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,142,2023-q1
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,148,2023-q2
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,135,2023-q3
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,138,2023-q4
01001001,small/mid,01,01001,Alabama,AL,AUTAUGA COUNTY SHERIFFS OFFICE,Autauga County,143,2024-q1
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,599,2021-q1
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,684,2021-q2
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,610,2021-q3
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,592,2021-q4
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,564,2022-q1
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,585,2022-q2
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,536,2022-q3
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,475,2022-q4
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,528,2023-q1
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,504,2023-q2
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,504,2023-q3
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,473,2023-q4
01003001,small/mid,01,01003,Alabama,AL,BALDWIN COUNTY SHERIFFS OFFICE,Baldwin County,498,2024-q1
01005001,rural,01,01005,Alabama,AL,EUFAULA CITY POLICE DEPARTMENT,Barbour County,3,2021-q2
01005001,rural,01,01005,Alabama,AL,EUFAULA CITY POLICE DEPARTMENT,Barbour County,9,2022-q2
01009001,suburban,01,01009,Alabama,AL,BLOUNT COUNTY SHERIFFS OFFICE,Blount County,151,2021-q1
01015002,small/mid,01,01015,Alabama,AL,CALHOUN COUNTY JAIL,Calhoun County,502,2021-q1
01017002,rural,01,01017,Alabama,AL,SHERIFF JAMES C. MORGAN DET. FAC.,Chambers County,2,2021-q1
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,70,2021-q1
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,106,2021-q2
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,86,2021-q3
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,76,2021-q4
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,85,2022-q1
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,119,2022-q2
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,100,2022-q3
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,90,2022-q4
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,95,2023-q1
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,86,2023-q2
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,104,2023-q3
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,96,2023-q4
01019001,rural,01,01019,Alabama,AL,CHEROKEE COUNTY SHERIFFS OFFICE,Cherokee County,91,2024-q1
01021001,suburban,01,01021,Alabama,AL,CHILTON COUNTY SHERIFFS DEPARTMENT,Chilton County,200,2021-q2
01021001,suburban,01,01021,Alabama,AL,CHILTON COUNTY SHERIFFS DEPARTMENT,Chilton County,215,2022-q2
01023001,rural,01,01023,Alabama,AL,CHOCTAW COUNTY JAIL,Choctaw County,24,2021-q1
